instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,482745765400,482
0,0,100.0,0.0,0.0,1143489078,482745765400,482
0,0,100.0,0.0,0.0,1143528058,482745765400,482
0,0,100.0,0.0,0.0,1143528343,482745765400,482
0,0,100.0,0.0,0.0,1143528575,482745765400,482
0,0,100.0,0.0,0.0,1143562674,482745765400,482
0,0,100.0,0.0,0.0,1143564801,482745765400,482
0,0,100.0,0.0,0.0,1143564900,482745765400,482
0,0,100.0,0.0,0.0,1143640684,482745765400,482
0,0,100.0,0.0,0.0,1143640801,482745765400,482
0,0,100.0,0.0,0.0,1143643192,482745765400,482
1,0,100.0,0.0,0.0,1143680122,482745765400,482
0,0,100.0,0.0,0.0,1143712857,482745765400,482
0,0,100.0,0.0,0.0,1143725279,482745765400,482
0,0,100.0,0.0,0.0,1143725524,482745765400,482
0,0,100.0,0.0,0.0,1143731311,482745765400,482
0,0,100.0,0.0,0.0,1143731413,482745765400,482
0,0,100.0,0.0,0.0,1143740479,482745765400,482
0,0,100.0,0.0,0.0,1143740526,482745765400,482
0,0,100.0,0.0,0.0,1144108833,482745765400,482
0,0,100.0,0.0,0.0,1144108911,482745765400,482
1,0,100.0,0.0,0.0,1144108994,482745765400,482
0,0,100.0,0.0,0.0,1144109030,482745765400,482
0,0,100.0,0.0,0.0,1144171182,482745765400,482
0,0,100.0,0.0,0.0,1144190049,482745765400,482
1,0,100.0,0.0,0.0,1144332585,482745765400,482
0,0,100.0,0.0,0.0,1144332834,482745765400,482
0,0,100.0,0.0,0.0,1144333754,482745765400,482
0,0,100.0,0.0,0.0,1144367076,482745765400,482
1,0,100.0,0.0,0.0,1144367225,482745765400,482
0,0,100.0,0.0,0.0,1144455156,482745765400,482
1,0,100.0,0.0,0.0,1144600689,482745765400,482
0,0,100.0,0.0,0.0,1144632979,482745765400,482
0,0,100.0,0.0,0.0,1144634478,482745765400,482
0,0,100.0,0.0,0.0,1144769764,482745765400,482
1,0,100.0,0.0,0.0,1144839281,482745765400,482
1,0,100.0,0.0,0.0,1144847899,482745765400,482
1,0,100.0,0.0,0.0,1144848722,482745765400,482
0,0,100.0,0.0,0.0,1144848857,482745765400,482
0,0,100.0,0.0,0.0,1144857702,482745765400,482
0,0,100.0,0.0,0.0,1144927106,482745765400,482
0,0,100.0,0.0,0.0,1144936447,482745765400,482
0,0,100.0,0.0,0.0,1144936610,482745765400,482
0,0,100.0,0.0,0.0,1144965095,482745765400,482
1,0,100.0,0.0,0.0,1145050228,482745765400,482
0,0,100.0,0.0,0.0,1145326045,482745765400,482
0,0,100.0,0.0,0.0,1145373393,482745765400,482
1,0,100.0,0.0,0.0,1145458270,482745765400,482
0,0,100.0,0.0,0.0,1145459933,482745765400,482
0,0,100.0,0.0,0.0,1145537185,482745765400,482
0,0,100.0,0.0,0.0,1145570493,482745765400,482
1,0,100.0,0.0,0.0,1145617445,482745765400,482
1,0,100.0,0.0,0.0,1145630366,482745765400,482
1,0,100.0,0.0,0.0,1145751536,482745765400,482
0,0,100.0,0.0,0.0,1145827982,482745765400,482
0,0,100.0,0.0,0.0,1145828038,482745765400,482
1,0,100.0,0.0,0.0,1145828252,482745765400,482
0,0,100.0,0.0,0.0,1145839052,482745765400,482
0,0,100.0,0.0,0.0,1145892760,482745765400,482
0,0,100.0,0.0,0.0,1146031853,482745765400,482
0,0,100.0,0.0,0.0,1146144658,482745765400,482
0,1,100.0,0.0,0.0,1146144819,482745765400,482
0,0,100.0,0.0,0.0,1146229674,482745765400,482
0,0,100.0,0.0,0.0,1146230363,482745765400,482
1,0,100.0,0.0,0.0,1146230528,482745765400,482
0,0,100.0,0.0,0.0,1146270192,482745765400,482
0,0,100.0,0.0,0.0,1146637287,482745765400,482
0,0,100.0,0.0,0.0,1146643622,482745765400,482
