instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,477694674200,477
0,0,100.0,0.0,0.0,1143489078,477694674200,477
0,0,100.0,0.0,0.0,1143528058,477694674200,477
0,0,100.0,0.0,0.0,1143528343,477694674200,477
0,0,100.0,0.0,0.0,1143528575,477694674200,477
0,0,100.0,0.0,0.0,1143562674,477694674200,477
0,0,100.0,0.0,0.0,1143564801,477694674200,477
0,0,100.0,0.0,0.0,1143564900,477694674200,477
0,0,100.0,0.0,0.0,1143640684,477694674200,477
0,0,100.0,0.0,0.0,1143640801,477694674200,477
0,0,100.0,0.0,0.0,1143643192,477694674200,477
1,0,100.0,0.0,0.0,1143680122,477694674200,477
0,0,100.0,0.0,0.0,1143712857,477694674200,477
0,0,100.0,0.0,0.0,1143725279,477694674200,477
0,0,100.0,0.0,0.0,1143725524,477694674200,477
0,0,100.0,0.0,0.0,1143731311,477694674200,477
0,0,100.0,0.0,0.0,1143731413,477694674200,477
0,0,100.0,0.0,0.0,1143740479,477694674200,477
0,0,100.0,0.0,0.0,1143740526,477694674200,477
0,0,100.0,0.0,0.0,1144108833,477694674200,477
0,0,100.0,0.0,0.0,1144108911,477694674200,477
1,0,100.0,0.0,0.0,1144108994,477694674200,477
0,0,100.0,0.0,0.0,1144109030,477694674200,477
0,0,100.0,0.0,0.0,1144171182,477694674200,477
0,0,100.0,0.0,0.0,1144190049,477694674200,477
1,0,100.0,0.0,0.0,1144332585,477694674200,477
0,0,100.0,0.0,0.0,1144332834,477694674200,477
0,0,100.0,0.0,0.0,1144333754,477694674200,477
0,0,100.0,0.0,0.0,1144367076,477694674200,477
1,0,100.0,0.0,0.0,1144367225,477694674200,477
0,0,100.0,0.0,0.0,1144455156,477694674200,477
1,0,100.0,0.0,0.0,1144600689,477694674200,477
0,0,100.0,0.0,0.0,1144632979,477694674200,477
0,0,100.0,0.0,0.0,1144634478,477694674200,477
0,0,100.0,0.0,0.0,1144769764,477694674200,477
1,0,100.0,0.0,0.0,1144839281,477694674200,477
1,0,100.0,0.0,0.0,1144847899,477694674200,477
1,0,100.0,0.0,0.0,1144848722,477694674200,477
0,0,100.0,0.0,0.0,1144848857,477694674200,477
0,0,100.0,0.0,0.0,1144857702,477694674200,477
0,0,100.0,0.0,0.0,1144927106,477694674200,477
0,0,100.0,0.0,0.0,1144936447,477694674200,477
0,0,100.0,0.0,0.0,1144936610,477694674200,477
0,0,100.0,0.0,0.0,1144965095,477694674200,477
1,0,100.0,0.0,0.0,1145050228,477694674200,477
0,0,100.0,0.0,0.0,1145326045,477694674200,477
0,0,100.0,0.0,0.0,1145373393,477694674200,477
1,0,100.0,0.0,0.0,1145458270,477694674200,477
0,0,100.0,0.0,0.0,1145459933,477694674200,477
0,0,100.0,0.0,0.0,1145537185,477694674200,477
0,0,100.0,0.0,0.0,1145570493,477694674200,477
1,0,100.0,0.0,0.0,1145617445,477694674200,477
1,0,100.0,0.0,0.0,1145630366,477694674200,477
1,0,100.0,0.0,0.0,1145751536,477694674200,477
0,0,100.0,0.0,0.0,1145827982,477694674200,477
0,0,100.0,0.0,0.0,1145828038,477694674200,477
1,0,100.0,0.0,0.0,1145828252,477694674200,477
0,0,100.0,0.0,0.0,1145839052,477694674200,477
0,0,100.0,0.0,0.0,1145892760,477694674200,477
0,0,100.0,0.0,0.0,1146031853,477694674200,477
0,0,100.0,0.0,0.0,1146144658,477694674200,477
0,0,100.0,0.0,0.0,1146144819,477694674200,477
0,0,100.0,0.0,0.0,1146229674,477694674200,477
0,0,100.0,0.0,0.0,1146230363,477694674200,477
1,0,100.0,0.0,0.0,1146230528,477694674200,477
0,0,100.0,0.0,0.0,1146270192,477694674200,477
0,0,100.0,0.0,0.0,1146637287,477694674200,477
0,0,100.0,0.0,0.0,1146643622,477694674200,477
1,0,100.0,0.0,0.0,1146647473,477694674200,477
1,0,100.0,0.0,0.0,1146718149,477694674200,477
0,0,100.0,0.0,0.0,1146753563,477694674200,477
0,0,100.0,0.0,0.0,1146837029,477694674200,477
0,0,100.0,0.0,0.0,1147183321,477694674200,477
0,0,100.0,0.0,0.0,1147183523,477694674200,477
0,0,100.0,0.0,0.0,1147763686,477694674200,477
0,0,100.0,0.0,0.0,1147847621,477694674200,477
0,0,100.0,0.0,0.0,1147870301,477694674200,477
1,0,100.0,0.0,0.0,1147870539,477694674200,477
1,0,100.0,0.0,0.0,1147976947,477694674200,477
0,0,100.0,0.0,0.0,1147999444,477694674200,477
0,0,100.0,0.0,0.0,1148000188,477694674200,477
0,0,100.0,0.0,0.0,1148000235,477694674200,477
0,0,100.0,0.0,0.0,1148024015,477694674200,477
0,0,100.0,0.0,0.0,1148083448,477694674200,477
1,0,100.0,0.0,0.0,1148083495,477694674200,477
1,0,100.0,0.0,0.0,1148341044,477694674200,477
0,0,100.0,0.0,0.0,1148447060,477694674200,477
0,0,100.0,0.0,0.0,1148530045,477694674200,477
0,0,100.0,0.0,0.0,1148661504,477694674200,477
0,0,100.0,0.0,0.0,1148661548,477694674200,477
1,0,100.0,0.0,0.0,1148903494,477694674200,477
0,0,100.0,0.0,0.0,1148911753,477694674200,477
0,0,100.0,0.0,0.0,1148918534,477694674200,477
0,0,100.0,0.0,0.0,1148919421,477694674200,477
0,0,100.0,0.0,0.0,1148983121,477694674200,477
0,0,100.0,0.0,0.0,1149433299,477694674200,477
0,0,100.0,0.0,0.0,1149433519,477694674200,477
0,0,100.0,0.0,0.0,1149743197,477694674200,477
0,0,100.0,0.0,0.0,1149778207,477694674200,477
0,0,100.0,0.0,0.0,1149778812,477694674200,477
1,0,100.0,0.0,0.0,1149780956,477694674200,477
0,0,100.0,0.0,0.0,1149894412,477694674200,477
0,0,100.0,0.0,0.0,1149894580,477694674200,477
0,0,100.0,0.0,0.0,1150062833,477694674200,477
0,0,100.0,0.0,0.0,1150491306,477694674200,477
0,0,100.0,0.0,0.0,1150503140,477694674200,477
0,0,100.0,0.0,0.0,1150801950,477694674200,477
0,0,100.0,0.0,0.0,1150836217,477694674200,477
0,0,100.0,0.0,0.0,1150836336,477694674200,477
0,0,100.0,0.0,0.0,1150836383,477694674200,477
0,0,100.0,0.0,0.0,1150839102,477694674200,477
1,0,100.0,0.0,0.0,1150881692,477694674200,477
1,0,100.0,0.0,0.0,1150937333,477694674200,477
1,0,100.0,0.0,0.0,1150940758,477694674200,477
0,0,100.0,0.0,0.0,1150971101,477694674200,477
